created_at,sum_interaction_count,sum_weighted_sentiment,positive_count,negative_count,null_count,volume_tweets,overall_sentiment,modified,Date,Symbol,Volume,VWAP,AdrActCnt,BlkCnt,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeTotUSD,HashRate,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrValAdjUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-03-22-19,33,66,11,0,0,11,2.0,2020-03-22-21,2020-03-22-21,0,166.5077435,6033.719999999998,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-22-17,53,57,1,7,0,8,1.0754716981132075,2020-03-22-19,2020-03-22-19,0,116.3769818,5975.538333333334,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-22-20,6,12,4,0,0,4,2.0,2020-03-22-22,2020-03-22-22,0,245.1171203,5997.68,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-22-18,3,6,1,0,0,1,2.0,2020-03-22-20,2020-03-22-20,0,387.6363627,5915.400000000001,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-22-02,0,0,0,0,1,1,"",2020-03-22-04,2020-03-22-04,0,46.77248724,6352.709999999999,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-22-04,0,0,0,0,10,10,"",2020-03-22-06,2020-03-22-06,0,42.74418345,6365.05,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-22-01,0,0,0,0,2,2,"",2020-03-22-03,2020-03-22-03,0,46.06835856,6322.668333333332,579901,127,879290.07086614,1.0659609310652202E11,1.6552923967337246E13,207073.85246221142,1.0450198982403682E8,46.43116366286333,-39.90226060699733,1.828230482099991E7,215499,1.0750296236128614E9,0.04906502431386314,0.10040080573483509,0.07356515744636616
2020-03-23-19,160,320,20,0,0,20,2.0,2020-03-23-21,2020-03-23-21,0,156.1030301,6451.954999999999,667486,112,1163433.92857143,1.1859558123908948E11,1.6552923967337246E13,327024.04343205434,9.215923512041043E7,63.358163172769764,-32.95874226347949,1.828370482099991E7,256978,1.7247174810385017E9,0.04970609574552584,0.10288888974605312,0.07490964481364368
2020-03-23-11,36,72,9,0,0,9,2.0,2020-03-23-13,2020-03-23-13,0,1359.255546,6409.656666666667,667486,112,1163433.92857143,1.1859558123908948E11,1.6552923967337246E13,327024.04343205434,9.215923512041043E7,63.358163172769764,-32.95874226347949,1.828370482099991E7,256978,1.7247174810385017E9,0.04970609574552584,0.10288888974605312,0.07490964481364368
2020-03-23-04,15,30,15,0,0,15,2.0,2020-03-23-06,2020-03-23-06,0,65.11446052,5915.425,667486,112,1163433.92857143,1.1859558123908948E11,1.6552923967337246E13,327024.04343205434,9.215923512041043E7,63.358163172769764,-32.95874226347949,1.828370482099991E7,256978,1.7247174810385017E9,0.04970609574552584,0.10288888974605312,0.07490964481364368
