created_at,sum_interaction_count,sum_weighted_sentiment,positive_count,negative_count,null_count,volume_tweets,overall_sentiment,modified,Date,Symbol,Volume,Only_date,VWAP
2020-04-15-01,13,19,2,2,4,8,1.4615384615384615,2020-04-15-03,2020-04-15-03,BTC.X,43.46675765,2020-04-15,6906.995
2020-03-23-00,0,0,0,0,23,23,"",2020-03-23-02,2020-03-23-02,BTC.X,312.0144388,2020-03-23,5890.338333333333
2020-04-12-04,6,6,0,6,10,16,1.0,2020-04-12-06,2020-04-12-06,LTC.X,267.03304,2020-04-12,42.165
2020-04-29-16,66,132,12,0,0,12,2.0,2020-04-29-18,2020-04-29-18,ETH.X,2454.441769,2020-04-29,214.92999999999998
2020-04-19-11,28,56,16,0,4,20,2.0,2020-04-19-13,2020-04-19-13,ETH.X,822.5217459,2020-04-19,182.02166666666668
2020-03-24-22,77,154,33,0,20,53,2.0,2020-03-25-00,2020-03-25-00,BTC.X,232.8590764,2020-03-25,6744.221666666667
2020-04-03-08,0,0,0,0,11,11,"",2020-04-03-10,2020-04-03-10,ETH.X,2171.973233,2020-04-03,145.85333333333332
2020-04-15-22,102,110,4,47,9,60,1.0784313725490196,2020-04-16-00,2020-04-16-00,BTC.X,543.5740921,2020-04-16,6593.191666666667
2020-03-28-02,320,640,64,0,0,64,2.0,2020-03-28-04,2020-03-28-04,BCH.X,0.0,2020-03-28,225.0
2020-03-29-01,38,76,14,0,10,24,2.0,2020-03-29-03,2020-03-29-03,BTC.X,11.50756467,2020-03-29,6218.778333333333
2020-04-19-00,64,110,13,4,7,24,1.71875,2020-04-19-02,2020-04-19-02,BTC.X,21.97911695,2020-04-19,7241.933333333334
2020-04-15-12,15,15,0,5,45,50,1.0,2020-04-15-14,2020-04-15-14,ETH.X,747.8702197,2020-04-15,157.16833333333332
2020-04-02-13,15,30,11,0,47,58,2.0,2020-04-02-15,2020-04-02-15,ETH.X,1101.186499,2020-04-02,139.40166666666667
2020-04-11-00,0,0,0,0,29,29,"",2020-04-11-02,2020-04-11-02,BCH.X,0.0,2020-04-11,241.0
2020-04-22-09,16,28,3,2,10,15,1.75,2020-04-22-11,2020-04-22-11,BTC.X,59.71696838,2020-04-22,6961.436666666666
2020-04-06-00,0,0,0,0,4,4,"",2020-04-06-02,2020-04-06-02,BTC.X,33.9866932,2020-04-06,6839.606666666667
2020-03-22-01,0,0,0,0,2,2,"",2020-03-22-03,2020-03-22-03,LTC.X,189.8637,2020-03-22,39.03333333333333
2020-03-24-15,49,98,7,0,0,7,2.0,2020-03-24-17,2020-03-24-17,LTC.X,1513.42294,2020-03-24,39.81
